cancer,prog_ceRNA,pValue,ceRNA_num,prog_ceRNA_num
BLCA,AL365181.2-MIR145-VEGFA,0.000777412,71,22
BLCA,LINC00460-MIR149-CD3D,0.004785931,71,22
BLCA,LINC00460-MIR149-FASLG,0.000403815,71,22
BLCA,LINC00460-MIR149-IFI30,0.000494005,71,22
BLCA,LINC00460-MIR149-MICB,0.011951644,71,22
BLCA,LINC00460-MIR149-PSMD1,0.019687678,71,22
BLCA,LINC00943-MIR149-CD3D,0.010146494,71,22
BLCA,LINC00943-MIR149-FASLG,0.007972029,71,22
BLCA,LINC00943-MIR149-MICB,0.044083764,71,22
BLCA,LINC00943-MIR149-PSMD1,0.014502281,71,22
BLCA,MSC-AS1-MIR200C-EDNRA,0.03507371,71,22
BLCA,MSC-AS1-MIR200C-RHOA,0.00108469,71,22
BLCA,NR2F1-AS1-MIR25-C3,0.040688281,71,22
BLCA,NR2F1-AS1-MIR25-CCL26,0.003293667,71,22
BLCA,NR2F1-AS1-MIR25-ENG,0.000878288,71,22
BLCA,NR2F1-AS1-MIR25-NRAS,0.007600598,71,22
BLCA,NR2F1-AS1-MIR25-PDGFRL,0.004244755,71,22
BLCA,NR2F1-AS1-MIR25-TLR3,0.013828715,71,22
BLCA,TBX5-AS1-MIR25-C3,0.049061654,71,22
BLCA,TBX5-AS1-MIR25-CCL26,0.016957899,71,22
BLCA,TBX5-AS1-MIR25-ENG,0.00410518,71,22
BLCA,TBX5-AS1-MIR25-PDGFRL,0.00942223,71,22
